model_key,brand,model,product_name,retailer,url,observed_price,reference_price,currency,price_type,category,location,capacity,availability,active,inhouse_product_match,source_kind,verified_date,notes
redwood-outdoors-cove-outdoor-sauna-3-person,Redwood Outdoors,Cove,Cove Outdoor Sauna - 3 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/3-person-cove-sauna,6199,6699,USD,exact,Traditional,Outdoor,3,out_of_stock,0,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-cabin-outdoor-sauna-4-person,Redwood Outdoors,Cabin,Cabin Outdoor Sauna - 4 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/cabin-outdoor-sauna-4-person,7299,,USD,exact,Traditional,Outdoor,4,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-garden-outdoor-sauna-8-person,Redwood Outdoors,Garden,Garden Outdoor Sauna - 8 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/garden-outdoor-sauna-8-person,8699,,USD,exact,Traditional,Outdoor,8,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-grove-outdoor-sauna-8-person,Redwood Outdoors,Grove,Grove Outdoor Sauna - 8 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/grove-outdoor-sauna-8-person,11699,,USD,exact,Traditional,Outdoor,8,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-vista-outdoor-sauna-6-person,Redwood Outdoors,Vista,Vista Outdoor Sauna - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/vista-outdoor-sauna-6-person,6899,,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-horizon-outdoor-sauna-6-person-w-porch,Redwood Outdoors,Horizon,Horizon Outdoor Sauna - 6 Person w/ Porch,Redwood Outdoors,https://www.redwoodoutdoors.com/products/horizon-outdoor-sauna-6-person-porch,7599,,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-extra-wide-outdoor-barrel-sauna-6-person,Redwood Outdoors,Extra-Wide Outdoor Barrel Sauna - 6 Person,Extra-Wide Outdoor Barrel Sauna - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/extra-wide-barrel-sauna-6-person,7499,,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-extra-wide-outdoor-barrel-sauna-w-porch-6-person,Redwood Outdoors,Extra-Wide Outdoor Barrel Sauna w/ Porch - 6 Person,Extra-Wide Outdoor Barrel Sauna w/ Porch - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/extra-wide-barrel-sauna-with-porch-6-person,7999,8499,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-duo-outdoor-sauna-2-person,Redwood Outdoors,Duo,Duo Outdoor Sauna - 2 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/duo-outdoor-sauna-2-person,5899,,USD,exact,Traditional,Outdoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-summit-outdoor-sauna-6-person,Redwood Outdoors,Summit,Summit Outdoor Sauna - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/summit-outdoor-sauna-6-person,7999,,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-barrel-outdoor-sauna-6-person,Redwood Outdoors,Barrel,Barrel Outdoor Sauna - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/6-person-barrel-sauna,6299,,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-barrel-outdoor-sauna-w-porch-6-person,Redwood Outdoors,Barrel,Barrel Outdoor Sauna w/ Porch - 6 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/barrel-sauna-porch-6-person,6499,6999,USD,exact,Traditional,Outdoor,6,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-barrel-outdoor-sauna-8-person,Redwood Outdoors,Barrel,Barrel Outdoor Sauna - 8 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/barrel-sauna-8-person,6399,6899,USD,exact,Traditional,Outdoor,8,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-retreat-indoor-sauna-4-person,Redwood Outdoors,Retreat,Retreat Indoor Sauna - 4 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/sanctuary-indoor-sauna-4-person,5499,,USD,exact,Traditional,Indoor,4,out_of_stock,0,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-haven-indoor-sauna-3-person,Redwood Outdoors,Haven,Haven Indoor Sauna - 3 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/haven-indoor-sauna-3-person,4699,4999,USD,exact,Traditional,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
redwood-outdoors-noctra-outdoor-sauna-8-person,Redwood Outdoors,Noctra,Noctra Outdoor Sauna - 8 Person,Redwood Outdoors,https://www.redwoodoutdoors.com/products/noctra-outdoor-sauna-8-person,9499,,USD,exact,Traditional,Outdoor,8,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-fuji-2-person-indoor-full-spectrum-infrared-sauna,Peak Saunas,Fuji,Fuji 2-Person Indoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-fuji-2-person-indoor-near-zero-emf-full-spectrum-infrared-sauna-with-medical-grade-red-light-therapy,8250,9995,USD,exact,Full Spectrum Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-mini-1-person-indoor-full-spectrum-infrared-sauna,Peak Saunas,Mini,Mini 1-Person Indoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-mini-1-person-indoor-full-spectrum-infrared-sauna-with-medical-grade-red-light-therapy,5950,7295,USD,exact,Full Spectrum Infrared,Indoor,1,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-everest-2-person-indoor-full-spectrum-infrared-sauna,Peak Saunas,Everest,Everest 2-Person Indoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-everest-2-person-indoor-near-zero-emf-full-spectrum-infrared-sauna-with-medical-grade-red-light-therapy,7950,9495,USD,exact,Full Spectrum Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-rainier-1-person-indoor-full-spectrum-infrared-sauna,Peak Saunas,Rainier,Rainier 1-Person Indoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-rainier-1-person-indoor-near-zero-emf-full-spectrum-infrared-sauna-with-xl-medical-grade-red-light-therapy-smart-wifi-app-control,7250,8995,USD,exact,Full Spectrum Infrared,Indoor,1,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-shasta-1-person-indoor-full-spectrum-infrared-sauna,Peak Saunas,Shasta,Shasta 1-Person Indoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-shasta-1-person-indoor-near-zero-emf-full-spectrum-infrared-sauna-with-xl-medical-grade-red-light-therapy-smart-wifi-app-control,6950,8495,USD,exact,Full Spectrum Infrared,Indoor,1,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-patagonia-2-person-outdoor-full-spectrum-infrared-sauna,Peak Saunas,Patagonia,Patagonia 2-Person Outdoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-patagonia-2-person-outdoor-full-spectrum-infrared-sauna-with-smart-wifi-app-control,10750,13995,USD,exact,Full Spectrum Infrared,Outdoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-matterhorn-3-person-full-spectrum-infrared-sauna,Peak Saunas,Matterhorn,Matterhorn 3-Person Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-matterhorn-3-person-full-spectrum-infrared-sauna-with-two-xl-medical-grade-red-light-therapy-smart-wifi-app-control,10750,13995,USD,exact,Full Spectrum Infrared,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-el-capitan-4-person-outdoor-full-spectrum-infrared-sauna,Peak Saunas,El Capitan,El Capitan 4-Person Outdoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-el-capitan-4-person-outdoor-full-spectrum-infrared-sauna-with-smart-wifi-app-control,16750,19995,USD,exact,Full Spectrum Infrared,Outdoor,4,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-denali-3-person-full-spectrum-infrared-sauna,Peak Saunas,Denali,Denali 3-Person Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-denali-3-person-full-spectrum-infrared-sauna-with-two-xl-medical-grade-red-light-therapy-smart-wifi-app-control,9750,12995,USD,exact,Full Spectrum Infrared,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
peak-saunas-kilimanjaro-5-person-outdoor-full-spectrum-infrared-sauna,Peak Saunas,Kilimanjaro,Kilimanjaro 5-Person Outdoor Full Spectrum Infrared Sauna,Peak Saunas,https://peaksaunas.com/products/peak-saunas-kilimanjaro-5-person-outdoor-full-spectrum-infrared-sauna-with-smart-wifi-app-control,13450,15995,USD,exact,Full Spectrum Infrared,Outdoor,5,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
health-mate-enrich-2,Health Mate,Enrich 2,Enrich 2,Health Mate,https://healthmatesauna.com/product/enrich-2/,5300,,USD,exact,Full Spectrum Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
health-mate-enrich-3,Health Mate,Enrich 3,Enrich 3,Health Mate,https://healthmatesauna.com/product/enrich-3/,5900,,USD,exact,Full Spectrum Infrared,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
health-mate-inspire-2,Health Mate,Inspire 2,Inspire 2,Health Mate,https://healthmatesauna.com/product/inspire-2/,7400,,USD,exact,Full Spectrum Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
health-mate-inspire-3,Health Mate,Inspire 3,Inspire 3,Health Mate,https://healthmatesauna.com/product/inspire-3/,8400,,USD,exact,Full Spectrum Infrared,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
health-mate-elevated-health,Health Mate,Elevated Health,Elevated Health,Health Mate,https://healthmatesauna.com/product/elevated-health/,8500,,USD,exact,Full Spectrum Infrared,Indoor,2-4,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-solstice-1-person-indoor-infrared-sauna,Sun Home,Solstice 1,Solstice 1-Person Indoor Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/sun-home-solstice-1-person-infrared-sauna,4999,5599,USD,exact,Far Infrared,Indoor,1,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-solstice-2-person-indoor-infrared-sauna,Sun Home,Solstice 2,Solstice 2-Person Indoor Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/best-2-person-infrared-sauna,5599,6199,USD,exact,Far Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-solstice-3-person-indoor-infrared-sauna,Sun Home,Solstice 3,Solstice 3-Person Indoor Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/fullspectruminfraredsauna,6299,6999,USD,exact,Far Infrared,Indoor,3,Current product title researched as Solstice 3-Person; URL handle is legacy/generic.,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-solstice-4-person-indoor-infrared-sauna,Sun Home,Solstice 4,Solstice 4-Person Indoor Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/sun-home-solstice-4-person-infrared-sauna,7799,8599,USD,exact,Far Infrared,Indoor,4,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-equinox-2-person-indoor-full-spectrum-infrared-sauna,Sun Home,Equinox 2,Equinox 2-Person Indoor Full Spectrum Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/sun-home-equinox-2-person-full-spectrum-infrared-sauna,6099,6799,USD,exact,Full Spectrum Infrared,Indoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-equinox-3-person-indoor-full-spectrum-infrared-sauna,Sun Home,Equinox 3,Equinox 3-Person Indoor Full Spectrum Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/sun-home-equinox-3-person-full-spectrum-bestinfrared-sauna,6999,7699,USD,exact,Full Spectrum Infrared,Indoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
sun-home-luminar-2-person-outdoor-full-spectrum-infrared-sauna,Sun Home,Luminar 2,Luminar 2-Person Outdoor Full Spectrum Infrared Sauna,Sun Home,https://sunhomesaunas.com/products/2-person-outdoor-infrared-sauna,10999,11599,USD,exact,Full Spectrum Infrared,Outdoor,2,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-baia-ergonomic-finnish-sauna-with-wave-benches,Auroom,Baia,Baia Ergonomic Finnish Sauna With Wave Benches,Northern Saunas,https://northernsaunas.com/products/baia-sauna-by-auroom,9290,,USD,exact,Traditional,Indoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-aura-modern-outdoor-sauna,Auroom,Aura,Aura Modern Outdoor Sauna,Northern Saunas,https://northernsaunas.com/products/auroom-aura-modern-outdoor-sauna,18490,,USD,exact,Traditional,Outdoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-arti-modern-outdoor-luxury-cabin-sauna,Auroom,Arti,Arti Modern Outdoor Luxury Cabin Sauna,Northern Saunas,https://northernsaunas.com/products/auroom-arti-outdoor-cabin-sauna,40790,,USD,exact,Traditional,Outdoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-mira-s-modern-outdoor-sauna,Auroom,Mira S,Mira S Modern Outdoor Sauna,Northern Saunas,https://northernsaunas.com/products/auroom-mira-outdoor-home-sauna-kit,14990,15990,USD,range,Traditional,Outdoor,2,Page/catalog exposed a price range; observed_price is the lower/current displayed value.,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-vulcana-indoor-modern-sauna,Auroom,Vulcana,Vulcana Indoor Modern Sauna,Northern Saunas,https://northernsaunas.com/products/auroom-vulcana-cabin-sauna,14900,15900,USD,exact,Traditional,Indoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-libera-glass-indoor-modern-sauna,Auroom,Libera Glass,Libera Glass Indoor Modern Sauna,Northern Saunas,https://northernsaunas.com/products/libera-glass-indoor-modern-sauna-by-auroom,15490,,USD,exact,Traditional,Indoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
auroom-familia-indoor-finnish-sauna-kit,Auroom,Familia,Familia Indoor Finnish Sauna Kit,Northern Saunas,https://northernsaunas.com/products/auroom-familia-cabin-sauna-kit,11990,,USD,exact,Traditional,Indoor,,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
leil-viva-210-modern-outdoor-3-person-sauna,Leil,Viva 210,Viva 210 Modern Outdoor 3-Person Sauna,Northern Saunas,https://northernsaunas.com/products/viva-210-3-person-outdoor-sauna,13190,15190,USD,exact,Traditional,Outdoor,3,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
leil-patio-m-outdoor-5-person-cabin-sauna-with-changing-room,Leil,Patio M,Patio M Outdoor 5-Person Cabin Sauna with Changing Room,Northern Saunas,https://northernsaunas.com/products/patio-m-outdoor-cabin-sauna,14935,16399,USD,exact,Traditional,Outdoor,5,listed,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
